naics,top1_code,top1_desc,top2_code,top2_desc,top3_code,top3_desc,candidate_count
444190,8810,Clerical Office Employees NOC,8017,Store Retail NOC,8010,Air Conditioning Equipment,8
444210,8810,Clerical Office Employees NOC,,,,,1
444220,8017,Store Retail NOC,,,,,1
444240,8017,Store Retail NOC,,,,,1
445110,8006,Store — Grocery Retail,8017,Store Retail NOC,,,2
445120,9079,Restaurant / Fast Food,8006,Store — Grocery Retail,,,2
445131,9079,Restaurant / Fast Food,,,,,1
445132,5192,Coffee Service Cos.,,,,,1
445210,8031,Cold Storage Locker,8810,Clerical Office Employees NOC,0915,Fish and Seafood Markets,3
445220,8031,Cold Storage Locker,,,,,1
445230,8006,Store — Grocery Retail,9083,Bakery / Doughnut Mfg.,8017,Store Retail NOC,5
445240,8031,Cold Storage Locker,8033,Grocery Stores,,,2
445250,8031,Cold Storage Locker,,,,,1
445291,2003,Bakery (Wholesale),8810,Clerical Office Employees NOC,8078,Ice Cream Stores,6
445292,8017,Store Retail NOC,8006,Store — Grocery Retail,2041,Candy/Chocolate Mfg.,9
445298,9079,Restaurant / Fast Food,,,,,1
445299,8018,Appliance Distributors,8017,Store Retail NOC,8006,Store — Grocery Retail,3
445310,8017,Store Retail NOC,9084,Bar/Nightclub/Tavern,9080,Dance Halls/Discos,10
445320,8017,Store Retail NOC,8060,Beer or Ale Dealer,9084,Bar/Nightclub/Tavern,7
446110,8045,Store — Drug Retail,,,,,1
446120,8810,Clerical Office Employees NOC,8017,Store Retail NOC,,,2
446130,8013,Jewelry Retail,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,4
446191,9079,Restaurant / Fast Food,8810,Clerical Office Employees NOC,8809,Executive Officers NOC,4
446199,8810,Clerical Office Employees NOC,8742,Outside Sales,2501,Auto/Bus/Truck Parts Mfg.,5
447110,8006,Store — Grocery Retail,8381,Auto Repair Shops,,,2
447190,8006,Store — Grocery Retail,8387,Automobile Car Wash,8324,Auto Gas Station (No Repair),4
448110,8032,Sewing/Needlework Stores,,,,,1
448120,8008,Store — Clothing / Shoes,8017,Store Retail NOC,,,2
448130,8008,Store — Clothing / Shoes,,,,,1
448140,8008,Store — Clothing / Shoes,8032,Sewing/Needlework Stores,8810,Clerical Office Employees NOC,3
448150,8008,Store — Clothing / Shoes,8013,Jewelry Retail,8032,Sewing/Needlework Stores,3
448190,8008,Store — Clothing / Shoes,,,,,1
448210,8008,Store — Clothing / Shoes,8810,Clerical Office Employees NOC,,,2
448310,8013,Jewelry Retail,,,,,1
448320,2688,Glove Mfg.,8008,Store — Clothing / Shoes,8810,Clerical Office Employees NOC,3
449110,8044,Consumer Electronics Rental,8017,Store Retail NOC,8810,Clerical Office Employees NOC,8
449121,8017,Store Retail NOC,8810,Clerical Office Employees NOC,4295,Cloth Printing,3
449122,9521,Advertising Display Install,2501,Auto/Bus/Truck Parts Mfg.,8017,Store Retail NOC,3
449129,8810,Clerical Office Employees NOC,8017,Store Retail NOC,2388,Embroidery / Textile Mfg.,4
449210,8017,Store Retail NOC,8742,Outside Sales,8810,Clerical Office Employees NOC,3
451110,8017,Store Retail NOC,8018,Appliance Distributors,8810,Clerical Office Employees NOC,4
451120,4653,Glue Mfg.,8810,Clerical Office Employees NOC,,,2
451130,8008,Store — Clothing / Shoes,,,,,1
451140,8017,Store Retail NOC,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,5
451211,8017,Store Retail NOC,,,,,1
451220,8838,Public Museum,8017,Store Retail NOC,,,2
452210,8017,Store Retail NOC,,,,,1
452311,8859,Computer Data Processing,,,,,1
452319,8017,Store Retail NOC,,,,,1
453110,8001,Store — Florist,,,,,1
453210,8810,Clerical Office Employees NOC,8017,Store Retail NOC,,,2
453220,8017,Store Retail NOC,,,,,1
453310,8017,Store Retail NOC,8810,Clerical Office Employees NOC,,,2
453910,8017,Store Retail NOC,8742,Outside Sales,8810,Clerical Office Employees NOC,3
453920,8017,Store Retail NOC,,,,,1
453930,9015,Buildings NOC,9012,Apartment / Condo Operation,,,2
453991,8017,Store Retail NOC,0928,Pet Walking and Sitting,0917,House Cleaning,4
453998,8017,Store Retail NOC,8810,Clerical Office Employees NOC,8008,Store — Clothing / Shoes,10
454110,8810,Clerical Office Employees NOC,8018,Appliance Distributors,8008,Store — Clothing / Shoes,5
454111,8810,Clerical Office Employees NOC,,,,,1
454112,8008,Store — Clothing / Shoes,8018,Appliance Distributors,,,2
454113,8810,Clerical Office Employees NOC,,,,,1
454190,8810,Clerical Office Employees NOC,8018,Appliance Distributors,,,2
454210,5192,Coffee Service Cos.,,,,,1
454310,8018,Appliance Distributors,0928,Pet Walking and Sitting,,,2
454390,8752,Household Furnishings Dealer,,,,,1
455219,8810,Clerical Office Employees NOC,,,,,1
456110,8810,Clerical Office Employees NOC,8045,Store — Drug Retail,,,2
456120,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,,,2
456130,8013,Jewelry Retail,8832,Physician / Dentist Office,,,2
456191,8810,Clerical Office Employees NOC,,,,,1
456199,8810,Clerical Office Employees NOC,8832,Physician / Dentist Office,,,2
457110,8006,Store — Grocery Retail,8324,Auto Gas Station (No Repair),9083,Bakery / Doughnut Mfg.,5
457120,8810,Clerical Office Employees NOC,,,,,1
458110,8008,Store — Clothing / Shoes,8017,Store Retail NOC,,,2
458210,8810,Clerical Office Employees NOC,,,,,1
458310,8013,Jewelry Retail,8810,Clerical Office Employees NOC,3383,Costume Jewelry Mfg.,7
458320,8017,Store Retail NOC,,,,,1
459110,8008,Store — Clothing / Shoes,,,,,1
459120,8018,Appliance Distributors,,,,,1
459130,8017,Store Retail NOC,8018,Appliance Distributors,8810,Clerical Office Employees NOC,3
459140,8017,Store Retail NOC,0928,Pet Walking and Sitting,2923,Musical Instrument Mfg.,4
459210,8017,Store Retail NOC,,,,,1
459310,8001,Store — Florist,8810,Clerical Office Employees NOC,0035,Bulb or Flower Farm,3
459410,8017,Store Retail NOC,0952,Computer Device Install/Inspect,,,2
459420,8017,Store Retail NOC,8001,Store — Florist,,,2
459510,8008,Store — Clothing / Shoes,,,,,1
459910,8017,Store Retail NOC,,,,,1
459920,8046,Motor Vehicle Parts (Used),8017,Store Retail NOC,,,2
459930,8017,Store Retail NOC,,,,,1
459991,8017,Store Retail NOC,,,,,1
459999,8017,Store Retail NOC,8810,Clerical Office Employees NOC,,,2
481111,8803,Accounting Services (traveling),,,,,1
481211,8859,Computer Data Processing,8810,Clerical Office Employees NOC,,,2
484110,8810,Clerical Office Employees NOC,,,,,1
484121,7219,Trucking NOC,,,,,1
484122,7219,Trucking NOC,8018,Appliance Distributors,8810,Clerical Office Employees NOC,3
484210,0917,House Cleaning,8742,Outside Sales,8293,Storage Warehouse — Furniture,5
484220,7219,Trucking NOC,,,,,1
485119,8810,Clerical Office Employees NOC,,,,,1
485310,8810,Clerical Office Employees NOC,,,,,1
485320,7370-EM,Taxicab Co.,8859,Computer Data Processing,8810,Clerical Office Employees NOC,3
485991,8835,Attendant Care / Home Health Care,0815,Automobile,,,2
485999,8810,Clerical Office Employees NOC,8859,Computer Data Processing,8810-EM,Clerical Office Employees NOC,3
487110,8810,Clerical Office Employees NOC,7382,Bus Co.,,,2
488119,8370,Auto Body/Paint/Interior Repair,,,,,1
488190,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
488410,0953,Computer System Designers,,,,,1
488510,8810,Clerical Office Employees NOC,8742,Outside Sales,8859,Computer Data Processing,9
488991,8018,Appliance Distributors,8017,Store Retail NOC,8810,Clerical Office Employees NOC,4
488999,8017,Store Retail NOC,,,,,1
491110,8017,Store Retail NOC,4299,Books Printing,,,2
492000,8810,Clerical Office Employees NOC,,,,,1
492110,8810,Clerical Office Employees NOC,8859,Computer Data Processing,8017,Store Retail NOC,8
492190,8810,Clerical Office Employees NOC,,,,,1
492210,2003,Bakery (Wholesale),8810,Clerical Office Employees NOC,7219,Trucking NOC,4
493110,8810,Clerical Office Employees NOC,8292,Warehousing NOC,,,2
493120,8292,Warehousing NOC,8810,Clerical Office Employees NOC,,,2
493190,8292,Warehousing NOC,8810,Clerical Office Employees NOC,8290,Mini-Storage/Flea Markets,3
511110,8810,Clerical Office Employees NOC,7610,Duplication Service,8742,Outside Sales,7
511120,8810,Clerical Office Employees NOC,,,,,1
511130,8810,Clerical Office Employees NOC,,,,,1
511191,8018,Appliance Distributors,4299,Books Printing,8810,Clerical Office Employees NOC,3
511199,8810,Clerical Office Employees NOC,0953,Computer System Designers,,,2
511210,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8742,Outside Sales,8
512110,7610,Duplication Service,8810,Clerical Office Employees NOC,9610,Motion Picture,4
512120,8810,Clerical Office Employees NOC,,,,,1
512131,9154,Theaters,0928,Pet Walking and Sitting,,,2
512132,9154,Theaters,,,,,1
512190,7610,Duplication Service,9610,Motion Picture,,,2
512191,7607,Audio/Video Post-Production,,,,,1
512199,0928,Pet Walking and Sitting,0953,Computer System Designers,,,2
512230,8810,Clerical Office Employees NOC,,,,,1
512240,4923,Photographic Supplies Mfg.,,,,,1
512250,8810,Clerical Office Employees NOC,8859,Computer Data Processing,8032,Sewing/Needlework Stores,8
512290,7610,Duplication Service,,,,,1
513110,8810,Clerical Office Employees NOC,,,,,1
513120,8810,Clerical Office Employees NOC,8807,Newspaper/Magazine Publishing,,,2
513130,8810,Clerical Office Employees NOC,,,,,1
513140,8810,Clerical Office Employees NOC,,,,,1
513199,8810,Clerical Office Employees NOC,8864,Adoption Services,8859,Computer Data Processing,4
513210,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8859,Computer Data Processing,6
515111,7610,Duplication Service,,,,,1
515112,7610,Duplication Service,,,,,1
515120,7610,Duplication Service,,,,,1
515210,8723,Insurance Agencies/Brokerages,8803,Accounting Services (traveling),,,2
516110,7610,Duplication Service,,,,,1
516120,7610,Duplication Service,9516,Communication Equip Install,,,2
516210,8810,Clerical Office Employees NOC,7610,Duplication Service,,,2
517110,7600,Communication Equipment Installation,,,,,1
517111,8810,Clerical Office Employees NOC,,,,,1
517112,8810,Clerical Office Employees NOC,,,,,1
517121,8017,Store Retail NOC,8810,Clerical Office Employees NOC,8871,Document Preparation Services,8
517122,8017,Store Retail NOC,,,,,1
517311,8803,Accounting Services (traveling),,,,,1
517312,8810,Clerical Office Employees NOC,,,,,1
517410,8859,Computer Data Processing,3178,Electronic Capacitor Mfg.,8601,Architectural / Engineering Firm,5
517810,8810,Clerical Office Employees NOC,0953,Computer System Designers,8901,Telecom Equipment Providers,4
517911,8810,Clerical Office Employees NOC,8871,Document Preparation Services,8742,Outside Sales,6
517919,8810,Clerical Office Employees NOC,7600,Communication Equipment Installation,,,2
518210,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8859,Computer Data Processing,8
519110,8810,Clerical Office Employees NOC,8742,Outside Sales,0953,Computer System Designers,4
519120,8810,Clerical Office Employees NOC,9101,Schools (Nonprofit) / Adult Day Care,7607,Audio/Video Post-Production,7
519130,8810,Clerical Office Employees NOC,,,,,1
519190,8810,Clerical Office Employees NOC,5191,Electronic / Precision Equipment Repair,,,2
519210,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
519290,8810,Clerical Office Employees NOC,,,,,1
522110,8810,Clerical Office Employees NOC,8742,Outside Sales,8859,Computer Data Processing,4
522120,8742,Outside Sales,,,,,1
522130,8810,Clerical Office Employees NOC,,,,,1
522180,8803,Accounting Services (traveling),8742,Outside Sales,,,2
522210,8810,Clerical Office Employees NOC,8859,Computer Data Processing,8803,Accounting Services (traveling),3
522220,8810,Clerical Office Employees NOC,,,,,1
522291,8810,Clerical Office Employees NOC,,,,,1
522292,8810,Clerical Office Employees NOC,8859,Computer Data Processing,,,2
522293,8810,Clerical Office Employees NOC,,,,,1
522294,8810,Clerical Office Employees NOC,,,,,1
522298,8810,Clerical Office Employees NOC,8742,Outside Sales,8859,Computer Data Processing,5
522310,8742,Outside Sales,8810,Clerical Office Employees NOC,,,2
522320,8810,Clerical Office Employees NOC,,,,,1
522390,8810,Clerical Office Employees NOC,,,,,1
523100,8810,Clerical Office Employees NOC,,,,,1
523110,8742,Outside Sales,8810,Clerical Office Employees NOC,,,2
523120,8810,Clerical Office Employees NOC,8871,Document Preparation Services,8859,Computer Data Processing,4
523130,8810,Clerical Office Employees NOC,,,,,1
523140,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
523150,8810,Clerical Office Employees NOC,8855,Banks & Trust Cos.,8742,Outside Sales,3
523160,8810,Clerical Office Employees NOC,,,,,1
523210,8810,Clerical Office Employees NOC,0953,Computer System Designers,,,2
523900,8810,Clerical Office Employees NOC,8742,Outside Sales,8871,Document Preparation Services,4
523910,8810,Clerical Office Employees NOC,,,,,1
523920,8810,Clerical Office Employees NOC,8742,Outside Sales,8871,Document Preparation Services,3
523930,8810,Clerical Office Employees NOC,8742,Outside Sales,0953,Computer System Designers,3
523940,8810,Clerical Office Employees NOC,8742,Outside Sales,0951,Construction/Project Mgr (CGL),3
523991,8810,Clerical Office Employees NOC,8742,Outside Sales,0953,Computer System Designers,8
523999,8810,Clerical Office Employees NOC,,,,,1
524113,8810,Clerical Office Employees NOC,8723,Insurance Agencies/Brokerages,0984,Appraisal Services,3
524114,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,8871,Document Preparation Services,3
524126,8810,Clerical Office Employees NOC,8723,Insurance Agencies/Brokerages,8859,Computer Data Processing,5
524127,8810,Clerical Office Employees NOC,8723,Insurance Agencies/Brokerages,,,2
524128,8810,Clerical Office Employees NOC,,,,,1
524130,8723,Insurance Agencies/Brokerages,8859,Computer Data Processing,8810,Clerical Office Employees NOC,3
524210,8810,Clerical Office Employees NOC,8742,Outside Sales,8723,Insurance Agencies/Brokerages,6
524291,8810,Clerical Office Employees NOC,8742,Outside Sales,8720,Appraisal Services,3
524292,8810,Clerical Office Employees NOC,8832,Physician / Dentist Office,0953,Computer System Designers,4
524298,8810,Clerical Office Employees NOC,8723,Insurance Agencies/Brokerages,8742,Outside Sales,4
525120,8832,Physician / Dentist Office,,,,,1
525910,8810,Clerical Office Employees NOC,,,,,1
525920,8820,Attorney — All Employees,8810,Clerical Office Employees NOC,,,2
525990,8810,Clerical Office Employees NOC,,,,,1
531110,9015,Buildings NOC,8810,Clerical Office Employees NOC,9012,Apartment / Condo Operation,3
531120,8810,Clerical Office Employees NOC,9012,Apartment / Condo Operation,8742,Outside Sales,9
531130,9015,Buildings NOC,9012,Apartment / Condo Operation,,,2
531190,9032,Sewing/Needlework Stores,9015,Buildings NOC,,,2
531210,8810,Clerical Office Employees NOC,8742,Outside Sales,8809,Executive Officers NOC,3
531311,9015,Buildings NOC,8810,Clerical Office Employees NOC,9032,Sewing/Needlework Stores,5
531312,9032,Sewing/Needlework Stores,9015,Buildings NOC,8810,Clerical Office Employees NOC,3
531320,8721,Real Estate Activities NOC,8810,Clerical Office Employees NOC,8742,Outside Sales,5
531390,8810,Clerical Office Employees NOC,,,,,1
532111,8392,Automobile Parking Lot,8002,Automobile Rental Co.,8810,Clerical Office Employees NOC,4
532112,8002,Automobile Rental Co.,8046,Motor Vehicle Parts (Used),8380,Tire Dealer — Retail,3
532120,8810,Clerical Office Employees NOC,8002,Automobile Rental Co.,8385,Ambulance Service,3
532210,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),,,2
532281,2503,Dressmaking or Tailoring,,,,,1
532282,8071,Books & Magazine Stores,,,,,1
532283,3632,Machine Shop NOC,0952,Computer Device Install/Inspect,,,2
532284,8017,Store Retail NOC,8025,Bicycle Rentals,8810,Clerical Office Employees NOC,10
532289,8810,Clerical Office Employees NOC,8044,Consumer Electronics Rental,8017,Store Retail NOC,10
532299,0922,Store,4361,Commercial Photography,8044,Consumer Electronics Rental,4
532310,5191,Electronic / Precision Equipment Repair,9426,Portable Toilet Rentals,9521,Advertising Display Install,5
532411,7403,Airport,,,,,1
532412,8107,Contractors Equipment Dealer,,,,,1
532420,8810,Clerical Office Employees NOC,,,,,1
532490,9516,Communication Equip Install,8017,Store Retail NOC,8810,Clerical Office Employees NOC,9
533110,8810,Clerical Office Employees NOC,,,,,1
541110,8820,Attorney — All Employees,8810,Clerical Office Employees NOC,8821,Attorney Support Services,4
541120,0953,Computer System Designers,8810,Clerical Office Employees NOC,,,2
541191,8810,Clerical Office Employees NOC,8720,Appraisal Services,,,2
541199,8820,Attorney — All Employees,,,,,1
541211,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8871,Document Preparation Services,3
541213,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8820,Attorney — All Employees,4
541214,8810,Clerical Office Employees NOC,8871,Document Preparation Services,8742,Outside Sales,3
541219,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8859,Computer Data Processing,5
541300,8803,Accounting Services (traveling),,,,,1
541310,8601,Architectural / Engineering Firm,8809,Executive Officers NOC,,,2
541320,0042,Land and Garden Services,8601,Architectural / Engineering Firm,8810,Clerical Office Employees NOC,6
541330,8601,Architectural / Engineering Firm,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,4
541340,8810,Clerical Office Employees NOC,8809,Executive Officers NOC,,,2
541350,8810,Clerical Office Employees NOC,8720,Appraisal Services,,,2
541360,8810,Clerical Office Employees NOC,8859,Computer Data Processing,8601,Architectural / Engineering Firm,3
541370,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,8602,Oil or Gas Geologist,3
541380,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,8832,Physician / Dentist Office,4
541410,8810,Clerical Office Employees NOC,9014,Janitorial / Buildings by Contractor,5102,Awning/Tent Installation,4
541420,4299,Books Printing,,,,,1
541430,8810,Clerical Office Employees NOC,8742,Outside Sales,8859,Computer Data Processing,3
541490,8601,Architectural / Engineering Firm,,,,,1
541510,8810,Clerical Office Employees NOC,0953,Computer System Designers,8859,Computer Data Processing,3
541511,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8859,Computer Data Processing,7
541512,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8859,Computer Data Processing,7
541513,8810,Clerical Office Employees NOC,,,,,1
541519,8810,Clerical Office Employees NOC,5191,Electronic / Precision Equipment Repair,8832,Physician / Dentist Office,7
541600,8810,Clerical Office Employees NOC,,,,,1
541610,8810,Clerical Office Employees NOC,,,,,1
541611,8810,Clerical Office Employees NOC,8742,Outside Sales,8832,Physician / Dentist Office,7
541612,8810,Clerical Office Employees NOC,8742,Outside Sales,0953,Computer System Designers,3
541613,8810,Clerical Office Employees NOC,8742,Outside Sales,8871,Document Preparation Services,6
541614,8292,Warehousing NOC,8018,Appliance Distributors,8810,Clerical Office Employees NOC,3
541618,8810,Clerical Office Employees NOC,8742,Outside Sales,8803,Accounting Services (traveling),7
541620,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,4511,Analytical Laboratories,10
541690,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8742,Outside Sales,7
541710,8810,Clerical Office Employees NOC,8809,Executive Officers NOC,,,2
541711,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,,,2
541712,4511,Analytical Laboratories,4611,Cosmetics Mfg.,8810,Clerical Office Employees NOC,3
541713,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,4512,Biomedical Research Lab,9
541714,4511,Analytical Laboratories,8742,Outside Sales,8810,Clerical Office Employees NOC,4
541715,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,8742,Outside Sales,6
541720,8810,Clerical Office Employees NOC,,,,,1
541810,8810,Clerical Office Employees NOC,8742,Outside Sales,0951,Construction/Project Mgr (CGL),4
541820,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
541830,8871,Document Preparation Services,8810,Clerical Office Employees NOC,,,2
541840,8810,Clerical Office Employees NOC,8742,Outside Sales,4361,Commercial Photography,6
541850,8810,Clerical Office Employees NOC,8742,Outside Sales,0953,Computer System Designers,5
541860,8810,Clerical Office Employees NOC,,,,,1
541870,8810,Clerical Office Employees NOC,4297,Graphic Design Services,,,2
541890,8810,Clerical Office Employees NOC,8018,Appliance Distributors,,,2
541910,8810,Clerical Office Employees NOC,,,,,1
541921,4361,Commercial Photography,8810,Clerical Office Employees NOC,,,2
541922,4361,Commercial Photography,8810,Clerical Office Employees NOC,,,2
541930,8803,Accounting Services (traveling),,,,,1
541940,8831,Pet Grooming / Veterinarian,8810,Clerical Office Employees NOC,,,2
541990,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8859,Computer Data Processing,10
551111,8742,Outside Sales,,,,,1
551112,8810,Clerical Office Employees NOC,8864,Adoption Services,8832,Physician / Dentist Office,10
551113,8810,Clerical Office Employees NOC,,,,,1
551114,8810,Clerical Office Employees NOC,,,,,1
561110,8810,Clerical Office Employees NOC,8871,Document Preparation Services,8742,Outside Sales,5
561210,9063,Health or Exercise Institute,8810,Clerical Office Employees NOC,0953,Computer System Designers,10
561310,8810,Clerical Office Employees NOC,,,,,1
561311,8810,Clerical Office Employees NOC,,,,,1
561312,8810,Clerical Office Employees NOC,8859,Computer Data Processing,,,2
561320,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),0953,Computer System Designers,5
561330,9063,Health or Exercise Institute,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,3
561410,8810,Clerical Office Employees NOC,8832,Physician / Dentist Office,0953,Computer System Designers,5
561421,8871,Document Preparation Services,8901,Telecom Equipment Providers,8810,Clerical Office Employees NOC,3
561422,8810,Clerical Office Employees NOC,8871,Document Preparation Services,0953,Computer System Designers,6
561431,8017,Store Retail NOC,8800,Mail Box or Packaging Stores,8810,Clerical Office Employees NOC,3
561439,8810,Clerical Office Employees NOC,4299,Books Printing,,,2
561440,8810,Clerical Office Employees NOC,8855,Banks & Trust Cos.,9102,Lawn Maintenance,4
561450,8810,Clerical Office Employees NOC,0953,Computer System Designers,,,2
561492,8820,Attorney — All Employees,8810,Clerical Office Employees NOC,8871,Document Preparation Services,4
561499,8810,Clerical Office Employees NOC,8868,Schools — Professional Employees,8871,Document Preparation Services,10
561510,8742,Outside Sales,8810,Clerical Office Employees NOC,0953,Computer System Designers,3
561520,8810,Clerical Office Employees NOC,8017,Store Retail NOC,0953,Computer System Designers,3
561591,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
561599,8810,Clerical Office Employees NOC,,,,,1
561611,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8742,Outside Sales,6
561612,8810,Clerical Office Employees NOC,,,,,1
561621,7600,Communication Equipment Installation,,,,,1
561622,8017,Store Retail NOC,,,,,1
561710,4519,Exterminator,,,,,1
561720,9014,Janitorial / Buildings by Contractor,8810,Clerical Office Employees NOC,9096,Domestic Workers,4
561730,0042,Land and Garden Services,9014,Janitorial / Buildings by Contractor,5183,Plumbing NOC,5
561740,2581,Carpet/Rug Cleaning,,,,,1
561790,9014,Janitorial / Buildings by Contractor,5491,Paperhanging,8810,Clerical Office Employees NOC,3
561910,8810,Clerical Office Employees NOC,8742,Outside Sales,8292,Warehousing NOC,8
561920,8742,Outside Sales,8810,Clerical Office Employees NOC,7610,Duplication Service,8
561990,9079,Restaurant / Fast Food,8810,Clerical Office Employees NOC,,,2
562111,8810-EM,Clerical Office Employees NOC,,,,,1
562119,9014,Janitorial / Buildings by Contractor,,,,,1
562219,9014,Janitorial / Buildings by Contractor,,,,,1
562910,9008,Cleaner,4511,Analytical Laboratories,8742,Outside Sales,3
562991,0917,House Cleaning,,,,,1
562998,9014,Janitorial / Buildings by Contractor,9403,Garbage or Refuse Dumps,6218,Tank Installation,4
611000,9101,Schools (Nonprofit) / Adult Day Care,,,,,1
611110,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,9101,Schools (Nonprofit) / Adult Day Care,3
611210,8868,Schools — Professional Employees,0965,Education Programs Admin,,,2
611310,8868,Schools — Professional Employees,,,,,1
611410,8810,Clerical Office Employees NOC,8859,Computer Data Processing,,,2
611420,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,8742,Outside Sales,6
611430,8810,Clerical Office Employees NOC,9063,Health or Exercise Institute,8868,Schools — Professional Employees,6
611510,9101,Schools (Nonprofit) / Adult Day Care,,,,,1
611511,9101,Schools (Nonprofit) / Adult Day Care,,,,,1
611512,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,,,2
611513,8810,Clerical Office Employees NOC,,,,,1
611519,8810,Clerical Office Employees NOC,,,,,1
611610,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,,,2
611620,9063,Health or Exercise Institute,9060,"Club — Country, Golf, Yacht",8868,Schools — Professional Employees,3
611630,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,9059,Child Care Center,5
611691,8810,Clerical Office Employees NOC,8868,Schools — Professional Employees,,,2
611692,8868,Schools — Professional Employees,,,,,1
611699,9063,Health or Exercise Institute,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,4
611710,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,8742,Outside Sales,7
621111,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,4
621112,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,9063,Health or Exercise Institute,4
621210,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,,,2
621310,8832,Physician / Dentist Office,,,,,1
621320,8832,Physician / Dentist Office,8013,Jewelry Retail,,,2
621330,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,8834,Acupressure or Acupuncture,6
621340,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,8834,Acupressure or Acupuncture,3
621391,8832,Physician / Dentist Office,,,,,1
621399,8810,Clerical Office Employees NOC,8832,Physician / Dentist Office,8809,Executive Officers NOC,3
621410,8810,Clerical Office Employees NOC,0953,Computer System Designers,,,2
621420,8832,Physician / Dentist Office,,,,,1
621491,8832,Physician / Dentist Office,8834,Acupressure or Acupuncture,,,2
621492,8834,Acupressure or Acupuncture,,,,,1
621493,8832,Physician / Dentist Office,,,,,1
621498,8832,Physician / Dentist Office,,,,,1
621511,8810,Clerical Office Employees NOC,8742,Outside Sales,8832,Physician / Dentist Office,3
621512,8832,Physician / Dentist Office,,,,,1
621610,8828,Homemaker Service,8832,Physician / Dentist Office,8835,Attendant Care / Home Health Care,6
621910,8832,Physician / Dentist Office,,,,,1
621991,4511,Analytical Laboratories,8810,Clerical Office Employees NOC,,,2
621999,8810,Clerical Office Employees NOC,8832,Physician / Dentist Office,8871,Document Preparation Services,3
622110,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,,,2
622210,8834,Acupressure or Acupuncture,8832,Physician / Dentist Office,,,2
622310,8832,Physician / Dentist Office,,,,,1
623110,8829,Convalescent Home,9070,Retirement Living Centers,8834,Acupressure or Acupuncture,6
623210,8835,Attendant Care / Home Health Care,9101,Schools (Nonprofit) / Adult Day Care,8842,Group Homes,6
623220,8832,Physician / Dentist Office,8842,Group Homes,8834,Acupressure or Acupuncture,5
623311,9070,Retirement Living Centers,8842,Group Homes,8869,Children's Play Centers,3
623312,8826,Rest Home — All Employees,8842,Group Homes,8829,Convalescent Home,7
623990,8835,Attendant Care / Home Health Care,8834,Acupressure or Acupuncture,8824,Retirement Living Center — Health Care,10
624110,9063,Health or Exercise Institute,8868,Schools — Professional Employees,,,2
624120,8826,Rest Home — All Employees,8835,Attendant Care / Home Health Care,,,2
624190,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,,,2
624210,8017,Store Retail NOC,,,,,1
624221,8804,Alcohol/Drug Recovery Home,,,,,1
624229,8810,Clerical Office Employees NOC,8868,Schools — Professional Employees,5645,Carpentry — Residential,6
624230,8810,Clerical Office Employees NOC,8859,Computer Data Processing,8018,Appliance Distributors,4
